ACTION_CONTRACT   ACTION_CONTRACT_BI;
ADMIN_UNIT   ADMIN_UNIT_BI;ADMIN_UNIT_LNG_BI;ADMIN_UNIT_SUB_BI;ADMIN_UNIT_SUB_LNG_BI;
ADMIN_UNIT_LNG   ADMIN_UNIT_LNG_BI;
ADMIN_UNIT_SUB   ADMIN_UNIT_SUB_BI;ADMIN_UNIT_SUB_LNG_BI;
ADMIN_UNIT_SUB_LNG   ADMIN_UNIT_SUB_LNG_BI;
AGENAMES   AGENAMES_BI;
BANKCORRS   BANKS_AFTER_DELETE;BANKCORRSTRIGGER1;CURRENCY_CHECK_DELETE;BANKS_CHECK_DELETE;
BANKS   BANKCORRS_CHECK_DELETE;BANKSTRIGGER1;BANKS_CHECK_DELETE;COUNTRIES_CHECK_DELETE;
BEDTYPES   BEDTYPES_BI;BEDTYPES_BI0;BEDTYPES_LNG_BI;
BEDTYPES_LNG   BEDTYPES_LNG_BI;
BILLINGS   BILLINGSTRIGGER1;
BILLING_FILE_LINKS   BILLING_FILE_LINKS_BI;
BILLS   BILLS_CHECK_DELETE;PERSONACCNTS_BEFORE_DELETE;PERSONACCNTS_CHECK_DELETE;PERSONS_BEFOREDELETE;BILLSTRIGGER1;PERSONACCNTS_AFTER_UPDATE;CURRENCY_CHECK_DELETE;TMUSERS_CHECK_DELETE;
BOARDMESSAGES   BOARDMESSAGES_BI;
BONUSPROGRAMS   BONUSPROGRAMSTRIGGER1;
CAR_TYPE_INFO   CAR_TYPE_INFO_BI;CAR_TYPE_INFO_LNG_BI;
CAR_TYPE_INFO_LNG   CAR_TYPE_INFO_LNG_BI;
CATEGORYDOCS   CATEGORYDOCS_BI;
CATEGORY_ORDERS   CATEGORY_ORDERS_BI;
CHMONEYS   BILLS_AFTER_UPDATE;TMUSERS_CHECK_DELETE;
CITIES   STOPS_CHECK_DELETE;OBJECTLINKS_AD0;CITIEST_CHECK_DELETE;CITIESTRIGGER1;COUNTRIES_CHECK_DELETE;HOTELS_AFTERINSERT;HOTELS_AFTER_UPDATE;INTERESTS_AFTER_INSERT;INTERESTS_AFTER_UPDATE;PROVINCES_CHECK_DELETE;COUNTRIES_BEFORE_UPDATE;CITIES_LNG_BI;
CITIES_LNG   CITIES_LNG_BI;
CITYKIND   CHECK_21;CHECK_22;CITYKIND_BI;
CITY_ADM_UNIT   CITY_ADM_UNIT_BI;CITY_ADM_UNIT_IMG_BI;CITY_ADM_UNIT_INFO_BI;CITY_ADM_UNIT_LINKS_BI;CITY_ADM_UNIT_LNG_BI;CITY_ADM_UNIT_SUB_REL_BI;CITY_ADM_UNIT_TYPE_INFO_BI;
